name,price,availability
A Light in the ...,£51.77,"
    
    
        In stock
    
"
Tipping the Velvet,£53.74,"
    
    
        In stock
    
"
Soumission,£50.10,"
    
    
        In stock
    
"
Sharp Objects,£47.82,"
    
    
        In stock
    
"
Sapiens: A Brief History ...,£54.23,"
    
    
        In stock
    
"
The Requiem Red,£22.65,"
    
    
        In stock
    
"
The Dirty Little Secrets ...,£33.34,"
    
    
        In stock
    
"
The Coming Woman: A ...,£17.93,"
    
    
        In stock
    
"
The Boys in the ...,£22.60,"
    
    
        In stock
    
"
The Black Maria,£52.15,"
    
    
        In stock
    
"
Starving Hearts (Triangular Trade ...,£13.99,"
    
    
        In stock
    
"
Shakespeare's Sonnets,£20.66,"
    
    
        In stock
    
"
Set Me Free,£17.46,"
    
    
        In stock
    
"
Scott Pilgrim's Precious Little ...,£52.29,"
    
    
        In stock
    
"
Rip it Up and ...,£35.02,"
    
    
        In stock
    
"
Our Band Could Be ...,£57.25,"
    
    
        In stock
    
"
Olio,£23.88,"
    
    
        In stock
    
"
Mesaerion: The Best Science ...,£37.59,"
    
    
        In stock
    
"
Libertarianism for Beginners,£51.33,"
    
    
        In stock
    
"
It's Only the Himalayas,£45.17,"
    
    
        In stock
    
"
